filename,Event Number,events_in_day(day|event),time_rel(sec),time_abs(sec),Filter_low_freq_point,Filter_high_freq_point,label
xa.s12.00.mhz.1971-04-17HR00_evid00030,105,21 | 0,13731,0,0.8,1,0
xa.s12.00.mhz.1971-04-17HR00_evid00030,106,21 | 1,17639,0,0.8,1,0
xa.s12.00.mhz.1971-04-17HR00_evid00030,107,21 | 2,19663,0,0.8,1,0
xa.s12.00.mhz.1971-04-17HR00_evid00030,108,21 | 3,21098,0,0.8,1,0
xa.s12.00.mhz.1971-04-17HR00_evid00030,109,21 | 4,21448,0,0.8,1,0
xa.s12.00.mhz.1971-04-17HR00_evid00030,110,21 | 5,25437,0,0.8,1,1
xa.s12.00.mhz.1971-04-17HR00_evid00030,111,21 | 6,59617,0,0.8,1,0
xa.s12.00.mhz.1971-05-12HR00_evid00031,112,22 | 0,29070,0,0.8,1,1
xa.s12.00.mhz.1971-05-12HR00_evid00031,113,22 | 1,35075,0,0.8,1,1
xa.s12.00.mhz.1971-05-12HR00_evid00032,114,23 | 0,29070,0,0.8,1,1
xa.s12.00.mhz.1971-05-12HR00_evid00032,115,23 | 1,35075,0,0.8,1,1
xa.s12.00.mhz.1971-05-13HR00_evid00033,116,24 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1971-05-13HR00_evid00033,117,24 | 1,10807,0,0.8,1,1
xa.s12.00.mhz.1971-05-13HR00_evid00033,118,24 | 2,42641,0,0.8,1,0
xa.s12.00.mhz.1971-05-23HR00_evid00034,119,25 | 0,80375,0,0.8,1,1
xa.s12.00.mhz.1971-06-12HR00_evid00035,120,26 | 0,2460,0,0.8,1,0
xa.s12.00.mhz.1971-06-12HR00_evid00035,121,26 | 1,6097,0,0.8,1,0
xa.s12.00.mhz.1971-06-12HR00_evid00035,122,26 | 2,8099,0,0.8,1,0
xa.s12.00.mhz.1971-06-12HR00_evid00035,123,26 | 3,23982,0,0.8,1,0
xa.s12.00.mhz.1971-06-12HR00_evid00035,124,26 | 4,39035,0,0.8,1,1
xa.s12.00.mhz.1971-09-25HR00_evid00042,125,27 | 0,1353,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,126,27 | 1,2524,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,127,27 | 2,4140,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,128,27 | 3,7512,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,129,27 | 4,8125,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,130,27 | 5,13678,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,131,27 | 6,14148,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,132,27 | 7,15817,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,133,27 | 8,16401,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,134,27 | 9,18675,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,135,27 | 10,20840,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,136,27 | 11,21943,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,137,27 | 12,23087,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,138,27 | 13,24228,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,139,27 | 14,24781,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,140,27 | 15,25791,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,141,27 | 16,26485,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,142,27 | 17,28128,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,143,27 | 18,28628,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,144,27 | 19,29248,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,145,27 | 20,30343,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,146,27 | 21,30858,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,147,27 | 22,31370,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,148,27 | 23,32154,0,0.8,1,1
xa.s12.00.mhz.1971-09-25HR00_evid00042,149,27 | 24,37593,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,150,27 | 25,38731,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,151,27 | 26,39296,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,152,27 | 27,40433,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,153,27 | 28,40915,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,154,27 | 29,41463,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,155,27 | 30,42068,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,156,27 | 31,47653,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,157,27 | 32,49543,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,158,27 | 33,52444,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,159,27 | 34,54785,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,160,27 | 35,55438,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,161,27 | 36,55957,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,162,27 | 37,69887,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,163,27 | 38,72709,0,0.8,1,0
xa.s12.00.mhz.1971-09-25HR00_evid00042,164,27 | 39,75607,0,0.8,1,0
xa.s12.00.mhz.1971-10-18HR00_evid00043,165,28 | 0,900,0,0.2,0.4,0
xa.s12.00.mhz.1971-10-18HR00_evid00043,166,28 | 1,3359,0,0.2,0.4,0
xa.s12.00.mhz.1971-10-18HR00_evid00043,167,28 | 2,4060,0,0.2,0.4,0
xa.s12.00.mhz.1971-10-18HR00_evid00043,168,28 | 3,6779,0,0.2,0.4,0
xa.s12.00.mhz.1971-10-18HR00_evid00043,169,28 | 4,12000,0,0.2,0.4,1
xa.s12.00.mhz.1971-10-18HR00_evid00043,170,28 | 5,51590,0,0.2,0.4,0
xa.s12.00.mhz.1971-10-18HR00_evid00043,171,28 | 6,55793,0,0.2,0.4,0
xa.s12.00.mhz.1971-10-18HR00_evid00043,172,28 | 7,57288,0,0.2,0.4,0
xa.s12.00.mhz.1971-10-18HR00_evid00043,173,28 | 8,59519,0,0.2,0.4,0
xa.s12.00.mhz.1971-10-20HR00_evid00044,174,29 | 0,42762,0,0.8,1,0
xa.s12.00.mhz.1971-10-20HR00_evid00044,175,29 | 1,65240,0,0.8,1,1
xa.s12.00.mhz.1971-10-31HR00_evid00045,176,30 | 0,1864,0,0.8,1,0
xa.s12.00.mhz.1971-10-31HR00_evid00045,177,30 | 1,3713,0,0.8,1,0
xa.s12.00.mhz.1971-10-31HR00_evid00045,178,30 | 2,19788,0,0.8,1,1
xa.s12.00.mhz.1971-10-31HR00_evid00045,179,30 | 3,46739,0,0.8,1,0
xa.s12.00.mhz.1971-10-31HR00_evid00045,180,30 | 4,51595,0,0.8,1,0
xa.s12.00.mhz.1971-10-31HR00_evid00045,181,30 | 5,52324,0,0.8,1,0
xa.s12.00.mhz.1971-10-31HR00_evid00045,182,30 | 6,53091,0,0.8,1,0
xa.s12.00.mhz.1971-10-31HR00_evid00045,183,30 | 7,75690,0,0.8,1,0
xa.s12.00.mhz.1971-10-31HR00_evid00045,184,30 | 8,77851,0,0.8,1,0
xa.s12.00.mhz.1971-10-31HR00_evid00045,185,30 | 9,80994,0,0.8,1,0
xa.s12.00.mhz.1971-11-14HR00_evid00046,186,31 | 0,2890,0,0.8,1,0
xa.s12.00.mhz.1971-11-14HR00_evid00046,187,31 | 1,15478,0,0.8,1,1
xa.s12.00.mhz.1971-11-14HR00_evid00046,188,31 | 2,23541,0,0.8,1,0
xa.s12.00.mhz.1971-11-14HR00_evid00046,189,31 | 3,24066,0,0.8,1,0
xa.s12.00.mhz.1971-11-14HR00_evid00046,190,31 | 4,25799,0,0.8,1,0
xa.s12.00.mhz.1971-11-14HR00_evid00046,191,31 | 5,26884,0,0.8,1,0
xa.s12.00.mhz.1971-11-14HR00_evid00046,192,31 | 6,33454,0,0.8,1,0
xa.s12.00.mhz.1971-11-14HR00_evid00046,193,31 | 7,34049,0,0.8,1,0
xa.s12.00.mhz.1971-11-14HR00_evid00046,194,31 | 8,34609,0,0.8,1,0
xa.s12.00.mhz.1971-11-14HR00_evid00046,195,31 | 9,54596,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,196,32 | 0,909,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,197,32 | 1,5950,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,198,32 | 2,7938,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,199,32 | 3,8955,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,200,32 | 4,20678,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,201,32 | 5,23722,0,0.8,1,1
xa.s12.00.mhz.1972-01-04HR00_evid00049,202,32 | 6,33942,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,203,32 | 7,34960,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,204,32 | 8,36969,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,205,32 | 9,39065,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,206,32 | 10,40514,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,207,32 | 11,47989,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,208,32 | 12,54455,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,209,32 | 13,57425,0,0.8,1,0
xa.s12.00.mhz.1972-01-04HR00_evid00049,210,32 | 14,83759,0,0.8,1,0
xa.s12.00.mhz.1972-03-12HR00_evid00052,211,33 | 0,64876,0,0.8,1,1
xa.s12.00.mhz.1972-05-11HR00_evid00055,212,34 | 0,2143,0,0.8,1,0
xa.s12.00.mhz.1972-05-11HR00_evid00055,213,34 | 1,3815,0,0.8,1,0
xa.s12.00.mhz.1972-05-11HR00_evid00055,214,34 | 2,26098,0,0.8,1,0
xa.s12.00.mhz.1972-05-11HR00_evid00055,215,34 | 3,48803,0,0.8,1,1
xa.s12.00.mhz.1972-05-11HR00_evid00055,216,34 | 4,77420,0,0.8,1,0
xa.s12.00.mhz.1972-05-11HR00_evid00055,217,34 | 5,81262,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,218,35 | 0,1212,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,219,35 | 1,1796,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,220,35 | 2,2364,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,221,35 | 3,2982,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,222,35 | 4,3530,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,223,35 | 5,4055,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,224,35 | 6,4630,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,225,35 | 7,5191,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,226,35 | 8,5769,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,227,35 | 9,6378,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,228,35 | 10,6851,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,229,35 | 11,8063,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,230,35 | 12,8627,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,231,35 | 13,9232,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,232,35 | 14,9732,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,233,35 | 15,10294,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,234,35 | 16,10905,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,235,35 | 17,11442,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,236,35 | 18,12025,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,237,35 | 19,13142,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,238,35 | 20,13757,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,239,35 | 21,14277,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,240,35 | 22,15426,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,241,35 | 23,18809,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,242,35 | 24,19982,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,243,35 | 25,20612,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,244,35 | 26,33040,0,0.8,1,0
xa.s12.00.mhz.1972-06-16HR00_evid00060,245,35 | 27,58352,0,0.8,1,1
xa.s12.00.mhz.1972-06-16HR00_evid00060,246,35 | 28,69231,0,0.8,1,0
xa.s12.00.mhz.1972-07-17HR00_evid00067,247,36 | 0,28200,0,0.4,0.6,1
xa.s12.00.mhz.1972-07-17HR00_evid00068,248,36 | 1,79180,0,0.4,0.6,1
xa.s12.00.mhz.1972-07-17HR00_evid00067,249,37 | 0,28200,0,0.4,0.6,1
xa.s12.00.mhz.1972-07-17HR00_evid00068,250,37 | 1,79180,0,0.4,0.6,1
xa.s12.00.mhz.1972-07-28HR00_evid00070,251,38 | 0,8657,0,0.8,1,1
xa.s12.00.mhz.1972-07-31HR00_evid00071,252,39 | 0,65465,0,0.8,1,1
xa.s12.00.mhz.1972-12-02HR00_evid00083,253,40 | 0,1011,0,0.8,1,0
xa.s12.00.mhz.1972-12-02HR00_evid00083,254,40 | 1,1589,0,0.8,1,0
xa.s12.00.mhz.1972-12-02HR00_evid00083,255,40 | 2,28934,0,0.8,1,1
xa.s12.00.mhz.1972-12-02HR00_evid00083,256,40 | 3,78722,0,0.8,1,1
xa.s12.00.mhz.1972-12-03HR00_evid00084,257,41 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1972-12-03HR00_evid00084,258,41 | 1,9666,0,0.8,1,1
xa.s12.00.mhz.1972-12-03HR00_evid00084,259,41 | 2,42084,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,260,42 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,261,42 | 1,5326,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,262,42 | 2,7933,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,263,42 | 3,10216,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,264,42 | 4,10959,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,265,42 | 5,12302,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,266,42 | 6,32097,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,267,42 | 7,34994,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,268,42 | 8,35374,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,269,42 | 9,36251,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,270,42 | 10,39701,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,271,42 | 11,43410,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,272,42 | 12,57252,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,273,42 | 13,58668,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,274,42 | 14,59947,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,275,42 | 15,61234,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,276,42 | 16,61645,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,277,42 | 17,62660,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,278,42 | 18,64655,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,279,42 | 19,65798,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,280,42 | 20,71587,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,281,42 | 21,72148,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,282,42 | 22,72743,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,283,42 | 23,74182,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,284,42 | 24,79956,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,285,42 | 25,80152,0,0.8,1,0
xa.s12.00.mhz.1973-01-18HR00_evid00088,286,42 | 26,83012,0,0.8,1,1
xa.s12.00.mhz.1973-01-31HR00_evid00091,287,43 | 0,2785,0,0.8,1,1
xa.s12.00.mhz.1973-01-31HR00_evid00091,288,43 | 1,18573,0,0.8,1,0
