filename,Event Number,events_in_day(day|event),time_rel(sec),time_abs(sec),Filter_low_freq_point,Filter_high_freq_point,label
xa.s12.00.mhz.1969-12-16HR00_evid00006,22,0 | 21,53135,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,23,0 | 22,83271,0,0.8,1,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,24,1 | 0,900,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,25,1 | 1,7343,0,0.3,0.5,1
xa.s12.00.mhz.1970-01-09HR00_evid00007,26,1 | 2,13969,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,27,1 | 3,14368,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,28,1 | 4,24515,0,0.3,0.5,1
xa.s12.00.mhz.1970-01-09HR00_evid00007,29,1 | 5,27222,0,0.3,0.5,1
xa.s12.00.mhz.1970-01-09HR00_evid00007,30,1 | 6,57750,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,31,1 | 7,62666,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,32,1 | 8,63054,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,33,1 | 9,65673,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,34,1 | 10,66357,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,35,1 | 11,67645,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,36,1 | 12,70443,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,37,1 | 13,75553,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,38,1 | 14,77305,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,39,1 | 15,77486,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,40,1 | 16,78619,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,41,1 | 17,81399,0,0.3,0.5,0
xa.s12.00.mhz.1970-01-09HR00_evid00007,42,1 | 18,82393,0,0.3,0.5,0
xa.s12.00.mhz.1970-02-07HR00_evid00014,43,2 | 0,900,0,0.2,0.4,0
xa.s12.00.mhz.1970-02-07HR00_evid00014,44,2 | 1,5583,0,0.2,0.4,1
xa.s12.00.mhz.1970-02-07HR00_evid00014,45,2 | 2,55969,0,0.2,0.4,0
xa.s12.00.mhz.1970-02-07HR00_evid00014,46,2 | 3,59318,0,0.2,0.4,0
xa.s12.00.mhz.1970-02-07HR00_evid00014,47,2 | 4,66604,0,0.2,0.4,0
xa.s12.00.mhz.1970-02-07HR00_evid00014,48,2 | 5,67978,0,0.2,0.4,0
xa.s12.00.mhz.1970-02-07HR00_evid00014,49,2 | 6,76834,0,0.2,0.4,0
xa.s12.00.mhz.1970-02-07HR00_evid00014,50,2 | 7,78253,0,0.2,0.4,0
xa.s12.00.mhz.1970-02-18HR00_evid00016,51,3 | 0,6090,0,0.7,0.9,1
xa.s12.00.mhz.1970-02-18HR00_evid00016,52,3 | 1,12843,0,0.7,0.9,0
xa.s12.00.mhz.1970-02-18HR00_evid00016,53,3 | 2,43856,0,0.7,0.9,1
xa.s12.00.mhz.1970-02-18HR00_evid00016,54,3 | 3,52908,0,0.7,0.9,0
xa.s12.00.mhz.1970-03-14HR00_evid00018,55,4 | 0,978,0,0.3,0.5,0
xa.s12.00.mhz.1970-03-14HR00_evid00018,56,4 | 1,18670,0,0.3,0.5,0
xa.s12.00.mhz.1970-03-14HR00_evid00018,57,4 | 2,19132,0,0.3,0.5,0
xa.s12.00.mhz.1970-03-14HR00_evid00018,58,4 | 3,43404,0,0.3,0.5,1
xa.s12.00.mhz.1970-03-14HR00_evid00018,59,4 | 4,52881,0,0.3,0.5,0
xa.s12.00.mhz.1970-03-30HR00_evid00020,60,5 | 0,1207,0,0.2,0.4,0
xa.s12.00.mhz.1970-03-30HR00_evid00020,61,5 | 1,1636,0,0.2,0.4,0
xa.s12.00.mhz.1970-03-30HR00_evid00020,62,5 | 2,1963,0,0.2,0.4,0
xa.s12.00.mhz.1970-03-30HR00_evid00020,63,5 | 3,46409,0,0.2,0.4,1
xa.s12.00.mhz.1970-03-30HR00_evid00020,64,5 | 4,50319,0,0.2,0.4,0
xa.s12.00.mhz.1970-03-30HR00_evid00020,65,5 | 5,51616,0,0.2,0.4,0
xa.s12.00.mhz.1970-03-30HR00_evid00020,66,5 | 6,63586,0,0.2,0.4,1
xa.s12.00.mhz.1970-03-30HR00_evid00020,67,5 | 7,74041,0,0.2,0.4,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,68,6 | 1,1338,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,69,6 | 4,4651,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,70,6 | 5,6326,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,71,6 | 21,23831,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,72,6 | 23,24927,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,73,6 | 25,26462,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,74,6 | 29,32641,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,75,6 | 33,36485,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,76,6 | 34,38710,0,0.3,0.5,1
xa.s12.00.mhz.1970-04-03HR00_evid00021,77,6 | 36,56658,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,78,6 | 38,62071,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-03HR00_evid00021,79,6 | 39,62533,0,0.3,0.5,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,80,7 | 0,971,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,81,7 | 1,4009,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,82,7 | 2,14849,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,83,7 | 3,16616,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,84,7 | 4,17761,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,85,7 | 5,23979,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,86,7 | 6,28072,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,87,7 | 7,35363,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,88,7 | 8,37807,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,89,7 | 9,39839,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,90,7 | 10,42075,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,91,7 | 11,42409,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,92,7 | 12,43097,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,93,7 | 13,44300,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,94,7 | 14,46041,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,95,7 | 15,48525,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,96,7 | 16,50417,0,0.7,0.9,0
xa.s12.00.mhz.1970-05-20HR00_evid00026,97,7 | 17,60733,0,0.7,0.9,1
xa.s12.00.mhz.1970-05-23HR00_evid00027,98,8 | 0,905,0,0.8,1,0
xa.s12.00.mhz.1970-05-23HR00_evid00027,99,8 | 1,47322,0,0.8,1,1
xa.s12.00.mhz.1970-05-24HR00_evid00028,100,9 | 0,916,0,0.3,0.5,0
xa.s12.00.mhz.1970-05-24HR00_evid00028,101,9 | 1,16721,0,0.3,0.5,1
xa.s12.00.mhz.1970-05-24HR00_evid00028,102,9 | 2,43798,0,0.3,0.5,0
xa.s12.00.mhz.1970-05-24HR00_evid00028,103,9 | 3,75041,0,0.3,0.5,0
xa.s12.00.mhz.1970-05-25HR00_evid00029,104,10 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1970-05-25HR00_evid00029,105,10 | 1,44033,0,0.8,1,1
xa.s12.00.mhz.1970-05-25HR00_evid00029,106,10 | 2,72894,0,0.8,1,0
xa.s12.00.mhz.1970-05-25HR00_evid00029,107,10 | 3,75265,0,0.8,1,0
xa.s12.00.mhz.1970-05-25HR00_evid00029,108,10 | 4,79053,0,0.8,1,0
xa.s12.00.mhz.1970-06-19HR00_evid00031,109,11 | 0,9784,0,0.8,1,1
xa.s12.00.mhz.1970-06-19HR00_evid00031,110,11 | 1,15653,0,0.8,1,0
xa.s12.00.mhz.1970-06-19HR00_evid00031,111,11 | 2,19067,0,0.8,1,0
xa.s12.00.mhz.1970-06-19HR00_evid00031,112,11 | 3,20904,0,0.8,1,0
xa.s12.00.mhz.1970-06-19HR00_evid00031,113,11 | 4,21968,0,0.8,1,0
xa.s12.00.mhz.1970-06-19HR00_evid00031,114,11 | 5,23267,0,0.8,1,0
xa.s12.00.mhz.1970-06-19HR00_evid00031,115,11 | 6,48720,0,0.8,1,0
xa.s12.00.mhz.1970-06-19HR00_evid00031,116,11 | 7,77293,0,0.8,1,1
xa.s12.00.mhz.1970-07-17HR00_evid00035,117,12 | 0,900,0,0.3,0.5,0
xa.s12.00.mhz.1970-07-17HR00_evid00035,118,12 | 1,9995,0,0.3,0.5,0
xa.s12.00.mhz.1970-07-17HR00_evid00035,119,12 | 2,14216,0,0.3,0.5,0
xa.s12.00.mhz.1970-07-17HR00_evid00035,120,12 | 3,14601,0,0.3,0.5,0
xa.s12.00.mhz.1970-07-17HR00_evid00035,121,12 | 4,18202,0,0.3,0.5,1
xa.s12.00.mhz.1970-07-17HR00_evid00035,122,12 | 5,56110,0,0.3,0.5,0
xa.s12.00.mhz.1970-07-18HR00_evid00036,123,13 | 0,2106,0,0.3,0.5,1
xa.s12.00.mhz.1970-07-18HR00_evid00036,124,13 | 1,57310,0,0.3,0.5,0
xa.s12.00.mhz.1970-07-20HR00_evid00037,125,14 | 0,18324,0,0.8,1,1
xa.s12.00.mhz.1970-07-20HR00_evid00037,126,14 | 1,23895,0,0.8,1,0
xa.s12.00.mhz.1970-07-20HR00_evid00037,127,14 | 2,40631,0,0.8,1,1
xa.s12.00.mhz.1970-07-20HR00_evid00037,128,14 | 3,42205,0,0.8,1,1
xa.s12.00.mhz.1970-07-27HR00_evid00039,129,15 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,130,15 | 1,5416,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,131,15 | 2,7281,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,132,15 | 3,7783,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,133,15 | 4,8033,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,134,15 | 5,9136,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,135,15 | 6,10520,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,136,15 | 7,13154,0,0.8,1,1
xa.s12.00.mhz.1970-07-27HR00_evid00039,137,15 | 8,21829,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,138,15 | 9,22770,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,139,15 | 10,33972,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,140,15 | 11,42258,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,141,15 | 12,42899,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,142,15 | 13,43322,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,143,15 | 14,51188,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,144,15 | 15,51836,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,145,15 | 16,59928,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,146,15 | 17,60440,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,147,15 | 18,67717,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,148,15 | 19,67918,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,149,15 | 20,84141,0,0.8,1,0
xa.s12.00.mhz.1970-07-27HR00_evid00039,150,15 | 21,84500,0,0.8,1,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,151,16 | 0,1852,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,152,16 | 1,3380,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,153,16 | 4,7886,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,154,16 | 5,9087,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,155,16 | 7,11374,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,156,16 | 8,12550,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,157,16 | 10,14262,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,158,16 | 14,18280,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,159,16 | 15,19433,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,160,16 | 16,22086,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,161,16 | 21,43807,0,0.3,0.5,1
xa.s12.00.mhz.1970-09-09HR00_evid00043,162,16 | 22,64291,0,0.3,0.5,1
xa.s12.00.mhz.1970-09-09HR00_evid00043,163,16 | 25,73156,0,0.3,0.5,0
xa.s12.00.mhz.1970-09-09HR00_evid00043,164,16 | 29,83512,0,0.3,0.5,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,165,17 | 0,1463,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,166,17 | 1,2646,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,167,17 | 2,3188,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,168,17 | 3,4268,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,169,17 | 4,10966,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,170,17 | 5,14400,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,171,17 | 6,16650,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,172,17 | 7,17159,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,173,17 | 8,18618,0,0.8,1,1
xa.s12.00.mhz.1970-10-26HR00_evid00049,174,17 | 9,26670,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,175,17 | 10,27260,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,176,17 | 11,27769,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,177,17 | 12,28342,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,178,17 | 13,28911,0,0.8,1,0
xa.s12.00.mhz.1970-10-26HR00_evid00049,179,17 | 14,54620,0,0.8,1,0
xa.s12.00.mhz.1970-11-03HR00_evid00050,180,18 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1970-11-03HR00_evid00050,181,18 | 1,30998,0,0.8,1,1
xa.s12.00.mhz.1970-11-03HR00_evid00050,182,18 | 2,62152,0,0.8,1,1
xa.s12.00.mhz.1970-11-03HR00_evid00051,183,19 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1970-11-03HR00_evid00051,184,19 | 1,30998,0,0.8,1,1
xa.s12.00.mhz.1970-11-03HR00_evid00051,185,19 | 2,62152,0,0.8,1,1
xa.s12.00.mhz.1971-01-03HR00_evid00057,186,20 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1971-01-03HR00_evid00057,187,20 | 1,39486,0,0.8,1,1
xa.s12.00.mhz.1971-01-05HR00_evid00059,188,21 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1971-01-05HR00_evid00059,189,21 | 1,2956,0,0.8,1,1
xa.s12.00.mhz.1971-01-17HR00_evid00060,190,22 | 0,940,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,191,22 | 1,14380,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,192,22 | 2,15838,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,193,22 | 3,27094,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,194,22 | 4,30147,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,195,22 | 5,32401,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,196,22 | 6,33208,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,197,22 | 7,33963,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,198,22 | 8,35023,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,199,22 | 9,51718,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,200,22 | 10,54696,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,201,22 | 11,55152,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,202,22 | 12,59142,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,203,22 | 13,62435,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,204,22 | 14,64391,0,0.8,1,1
xa.s12.00.mhz.1971-01-17HR00_evid00060,205,22 | 15,75428,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,206,22 | 16,78176,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,207,22 | 17,78727,0,0.8,1,0
xa.s12.00.mhz.1971-01-17HR00_evid00060,208,22 | 18,79778,0,0.8,1,0
xa.s12.00.mhz.1971-03-15HR00_evid00073,209,23 | 0,28290,0,0.8,1,1
xa.s12.00.mhz.1971-04-08HR01_evid00083,210,24 | 0,2028,0,0.8,1,0
xa.s12.00.mhz.1971-04-08HR01_evid00083,211,24 | 1,3629,0,0.8,1,0
xa.s12.00.mhz.1971-04-08HR01_evid00083,212,24 | 2,7484,0,0.8,1,0
xa.s12.00.mhz.1971-04-08HR01_evid00083,213,24 | 3,27194,0,0.8,1,1
xa.s12.00.mhz.1971-05-22HR00_evid00092,214,25 | 0,64398,0,0.8,1,1
xa.s12.00.mhz.1971-06-11HR00_evid00096,215,26 | 0,24403,0,0.8,1,0
xa.s12.00.mhz.1971-06-11HR00_evid00096,216,26 | 1,38782,0,0.8,1,0
xa.s12.00.mhz.1971-06-11HR00_evid00096,217,26 | 2,42945,0,0.8,1,0
xa.s12.00.mhz.1971-06-11HR00_evid00096,218,26 | 3,46994,0,0.8,1,0
xa.s12.00.mhz.1971-06-11HR00_evid00096,219,26 | 4,49912,0,0.8,1,1
xa.s12.00.mhz.1971-06-11HR00_evid00096,220,26 | 5,68533,0,0.8,1,0
xa.s12.00.mhz.1971-06-11HR00_evid00096,221,26 | 6,76781,0,0.8,1,0
xa.s12.00.mhz.1971-06-27HR00_evid00101,222,27 | 0,68005,0,0.7,0.9,1
xa.s12.00.mhz.1971-10-06HR00_evid00124,223,28 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1971-10-06HR00_evid00124,224,28 | 1,23742,0,0.8,1,0
xa.s12.00.mhz.1971-10-06HR00_evid00124,225,28 | 2,24163,0,0.8,1,0
xa.s12.00.mhz.1971-10-06HR00_evid00124,226,28 | 3,25150,0,0.8,1,0
xa.s12.00.mhz.1971-10-06HR00_evid00124,227,28 | 4,38896,0,0.8,1,1
xa.s12.00.mhz.1971-10-06HR00_evid00124,228,28 | 5,53181,0,0.8,1,0
xa.s12.00.mhz.1971-10-06HR00_evid00124,229,28 | 6,62412,0,0.8,1,1
xa.s12.00.mhz.1971-10-06HR00_evid00125,230,29 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1971-10-06HR00_evid00125,231,29 | 1,23742,0,0.8,1,0
xa.s12.00.mhz.1971-10-06HR00_evid00125,232,29 | 2,24163,0,0.8,1,0
xa.s12.00.mhz.1971-10-06HR00_evid00125,233,29 | 3,25150,0,0.8,1,0
xa.s12.00.mhz.1971-10-06HR00_evid00125,234,29 | 4,38896,0,0.8,1,1
xa.s12.00.mhz.1971-10-06HR00_evid00125,235,29 | 5,53181,0,0.8,1,0
xa.s12.00.mhz.1971-10-06HR00_evid00125,236,29 | 6,62412,0,0.8,1,1
xa.s12.00.mhz.1971-10-26HR00_evid00133,237,30 | 1,5333,0,0.8,1,0
xa.s12.00.mhz.1971-10-26HR00_evid00133,238,30 | 4,16555,0,0.8,1,1
xa.s12.00.mhz.1971-10-26HR00_evid00133,239,30 | 9,52644,0,0.8,1,0
xa.s12.00.mhz.1971-10-26HR00_evid00133,240,30 | 11,58804,0,0.8,1,0
xa.s12.00.mhz.1971-10-26HR00_evid00133,241,30 | 17,65728,0,0.8,1,0
xa.s12.00.mhz.1971-10-26HR00_evid00133,242,30 | 19,68178,0,0.8,1,0
xa.s12.00.mhz.1971-10-26HR00_evid00133,243,30 | 20,70390,0,0.8,1,0
xa.s12.00.mhz.1971-10-26HR00_evid00133,244,30 | 22,73193,0,0.8,1,0
xa.s12.00.mhz.1971-10-26HR00_evid00133,245,30 | 23,73818,0,0.8,1,0
xa.s12.00.mhz.1971-10-26HR00_evid00133,246,30 | 26,76695,0,0.8,1,0
xa.s12.00.mhz.1971-10-26HR00_evid00133,247,30 | 29,80154,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,248,31 | 0,1396,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,249,31 | 4,4166,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,250,31 | 5,5378,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,251,31 | 7,7101,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,252,31 | 10,9281,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,253,31 | 11,9917,0,0.8,1,1
xa.s12.00.mhz.1971-11-24HR00_evid00156,254,31 | 15,15991,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,255,31 | 19,21774,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,256,31 | 20,22200,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,257,31 | 22,25103,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,258,31 | 27,31590,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,259,31 | 28,33769,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,260,31 | 30,37742,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,261,31 | 33,41121,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,262,31 | 35,43388,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,263,31 | 44,55391,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,264,31 | 46,56764,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,265,31 | 48,74227,0,0.8,1,0
xa.s12.00.mhz.1971-11-24HR00_evid00156,266,31 | 55,82476,0,0.8,1,0
xa.s12.00.mhz.1972-01-26HR00_evid00186,267,32 | 0,18664,0,0.8,1,1
xa.s12.00.mhz.1972-02-21HR00_evid00190,268,33 | 3,3042,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,269,33 | 6,5860,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,270,33 | 14,10966,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,271,33 | 16,13247,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,272,33 | 24,20098,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,273,33 | 25,20671,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,274,33 | 26,21841,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,275,33 | 28,23520,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,276,33 | 36,28598,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,277,33 | 45,34799,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,278,33 | 46,36049,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,279,33 | 47,36640,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,280,33 | 49,38878,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,281,33 | 50,39481,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,282,33 | 53,41621,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,283,33 | 54,43938,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,284,33 | 60,47966,0,0.8,1,0
xa.s12.00.mhz.1972-02-21HR00_evid00190,285,33 | 62,49679,0,0.8,1,0
